Timestamp,Sensor_ID,MiCS5524_Value,MQ3_Value
1731449305.7330189,0,0,0
1731449305.733342,1,0,0
1731449305.733535,2,0,0
1731449305.733695,3,0,0
1731449305.733846,4,0,0
1731449305.733995,5,0,0
1731449305.734142,6,0,0
1731449305.7342908,7,0,0
1731449305.7344398,8,0,0
1731449305.7345889,9,0,0
1731449305.8360388,0,0,0
1731449305.836431,1,0,0
1731449305.836738,2,0,0
1731449305.836954,3,0,0
1731449305.83717,4,0,0
1731449305.8373702,5,0,0
1731449305.837568,6,0,0
1731449305.837766,7,0,0
1731449305.837964,8,0,0
1731449305.83813,9,0,0
1731449305.938773,0,0,0
1731449305.939063,1,0,0
1731449305.9393432,2,0,0
1731449305.939471,3,0,0
1731449305.939596,4,0,0
1731449305.939724,5,0,0
1731449305.939845,6,0,0
1731449305.939969,7,0,0
1731449305.9400918,8,0,0
1731449305.940213,9,0,0
1731449306.041636,0,0,0
1731449306.042036,1,0,0
1731449306.042349,2,0,0
1731449306.0425642,3,0,0
1731449306.0427752,4,0,0
1731449306.0429828,5,0,0
1731449306.04319,6,0,0
1731449306.043387,7,0,0
1731449306.0435379,8,0,0
1731449306.0436878,9,0,0
1731449306.144855,0,0,0
1731449306.145252,1,0,0
1731449306.145561,2,0,0
1731449306.145778,3,0,0
1731449306.145986,4,0,0
1731449306.146209,5,0,0
1731449306.146508,6,0,0
1731449306.1467168,7,0,0
1731449306.14692,8,0,0
1731449306.1471229,9,0,0
1731449306.248354,0,0,0
1731449306.248579,1,0,0
1731449306.2486851,2,0,0
1731449306.248783,3,0,0
1731449306.2488809,4,0,0
1731449306.248975,5,0,0
1731449306.249068,6,0,0
1731449306.24916,7,0,0
1731449306.249254,8,0,0
1731449306.249346,9,0,0
1731449306.35068,0,0,0
1731449306.351189,1,0,0
1731449306.351417,2,0,0
1731449306.351635,3,0,0
1731449306.351845,4,0,0
1731449306.352053,5,0,0
1731449306.3522618,6,0,0
1731449306.3524768,7,0,0
1731449306.352692,8,0,0
1731449306.352902,9,0,0
1731449306.4532511,0,0,0
1731449306.453439,1,0,0
1731449306.453547,2,0,0
1731449306.4536488,3,0,0
1731449306.453753,4,0,0
1731449306.4538581,5,0,0
1731449306.453963,6,0,0
1731449306.454068,7,0,0
1731449306.4541671,8,0,0
1731449306.454266,9,0,0
1731449306.555548,0,0,0
1731449306.555748,1,0,0
1731449306.555861,2,0,0
1731449306.555968,3,0,0
1731449306.556074,4,0,0
1731449306.556177,5,0,0
1731449306.5562801,6,0,0
1731449306.556383,7,0,0
1731449306.556484,8,0,0
1731449306.556583,9,0,0
1731449306.6574311,0,0,0
1731449306.657621,1,0,0
1731449306.657738,2,0,0
1731449306.657847,3,0,0
1731449306.657954,4,0,0
1731449306.658058,5,0,0
1731449306.658156,6,0,0
1731449306.658258,7,0,0
1731449306.658359,8,0,0
1731449306.658462,9,0,0
